Credit liabilities of households 1 2 3,Jan-17,Symbol,Feb-17,Symbol,Mar-17,Symbol,Apr-17,Symbol,May-17,Symbol,Jun-17,Symbol,Jul-17,Symbol,Aug-17,Symbol,Sep-17,Symbol,Oct-17,Symbol,Nov-17,Symbol,Dec-17,Symbol,Jan-18,Symbol,Feb-18,Symbol,Mar-18,Symbol,Apr-18,Symbol,May-18,Symbol,Jun-18,Symbol,Jul-18,Symbol,Aug-18,Symbol,Sep-18,Symbol,Oct-18,Symbol,Nov-18,Symbol,Dec-18,Symbol,Jan-19,Symbol,Feb-19,Symbol,Mar-19,Symbol,Apr-19,Symbol,May-19,Symbol,Jun-19,Symbol,Jul-19,Symbol,Aug-19,Symbol,Sep-19,Symbol,Oct-19,Symbol,Nov-19,Symbol,Dec-19,Symbol,Jan-20,Symbol,Feb-20,Symbol,Mar-20,Symbol,Apr-20,Symbol,May-20,Symbol,Jun-20,Symbol,Jul-20,Symbol,Aug-20,Symbol,Sep-20,Symbol,Oct-20,Symbol,Nov-20,Symbol,Dec-20,Symbol,Jan-21,Symbol,Feb-21,Symbol,Mar-21,Symbol,Apr-21,Symbol,May-21,Symbol,Jun-21,Symbol,Jul-21,Symbol,Aug-21,Symbol,Sep-21,Symbol,Oct-21,Symbol,Nov-21,Symbol,Dec-21,Symbol,Jan-22,Symbol,Feb-22,Symbol,Mar-22,Symbol,Apr-22,Symbol,May-22,Symbol,Jun-22,Symbol,Jul-22,Symbol,Aug-22,Symbol,Sep-22,Symbol,Oct-22,Symbol,Nov-22,Symbol,Dec-22,Symbol,Jan-23,Symbol
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chartered banks 14,"175,563",,"175,780",,"176,297",,"176,670",,"177,274",,"177,892",,"178,586",,"178,254",,"178,133",,"177,679",,"177,441",,"177,667",,"177,509",,"177,332",,"177,145",,"176,923",,"176,651",,"176,414",,"176,461",,"176,496",,"176,368",,"176,577",,"176,494",,"176,379",,"176,470",,"175,976",,"175,477",,"175,098",,"174,922",,"174,516",,"174,144",,"173,258",,"172,361",,"171,561",,"170,850",,"170,306",,"170,075",,"169,987",,"170,895",,"169,244",,"167,225",,"166,174",,"165,469",,"165,126",,"165,487",,"164,587",,"163,711",,"162,653",,"160,721",,"159,553",,"157,890",,"158,552",,"158,285",,"157,972",,"157,485",,"157,216",,"157,141",,"157,365",,"157,935",,"158,436",,"159,023",,"159,805",,"160,247",,"161,068",,"161,958",,"162,297",,"162,237",,"162,534",,"162,305",,"162,150",,"162,000",,"161,967",,"162,187",
Non-banks 14 15,"9,671",,"9,679",,"9,684",,"9,693",,"9,715",,"9,714",,"9,708",,"9,701",,"9,674",,"9,682",,"9,688",,"9,707",,"9,715",,"9,689",,"9,665",,"9,656",,"9,637",,"9,633",,"9,613",,"9,582",,"9,566",,"9,532",,"9,497",,"9,470",,"9,401",,"9,405",,"9,415",,"9,403",,"9,349",,"9,302",,"9,256",,"9,199",,"9,135",,"9,060",,"8,985",,"8,931",,"8,876",,"8,819",,"8,814",,"8,584",,"8,454",,"8,403",,"8,355",,"8,297",,"8,254",,"8,179",,"8,117",,"8,033",,"7,977",,"7,942",,"7,903",,"7,875",,"7,911",,"7,844",,"7,825",,"7,821",,"7,823",,"7,866",,"7,894",,"7,923",,"7,951",,"7,968",,"8,000",,"8,079",,"8,152",,"8,193",,"8,213",,"8,256",,"8,278",,"8,293",,"8,299",,"8,281",,"8,282",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Non-mortgage loans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chartered banks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"For further information on the concepts, methodologies, and classifications used to compile these monthly estimates please see the document <a href=https://www150.statcan.gc.ca/n1/en/catalogue/13-605-X202000100004"">Guide to the Monthly Credit Aggregates</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chartered banks home equity lines of credit are a subset of chartered banks lines of credit under household liabilities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Non-banks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Financial vehicle corporations engaged in securitization are off balance sheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"N.e.i.: not elsewhere included. This consists of other mutual funds, property and casualty insurance companies, trusteed pension plans, segregated funds of life insurance companies, life insurance business, financial corporations engaged in lending, security and derivative dealers, specialized financial corporations and other financial intermediaries, financial auxiliaries, captive financial institutions and money lenders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Other lenders n.e.i. (not elsewhere included). This consists of non-financial corporations, households, non-profit institutions serving households, and non-residents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mortgage loans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Residential mortgages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Types of non-bank financial corporations include credit unions, trust and mortgage loan companies, etcetera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NHA - MBS: National Housing Act mortgage backed securities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Non-residential mortgages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Real estate secured lending: subset of both mortgage and non-mortgage loans for households.  Each series is already accounted for directly or indirectly, in the mortgage or non-mortgage loans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,This estimate contains only partial coverage of all non-bank HELOCs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 36-10-0639-01  Credit liabilities of households (x 1,000,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610063901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
